system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1
242,1.86,water,3,2,0,3,O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],19
312,0.72,acetonitrile,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ir],61
205,-0.4,water,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],49
305,0.84,water,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Os],61
216,0.13,dichloromethane,1,0,1,0,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],53
272,0.68,water,3,2,0,3,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
280,0.16,water,-1,-2,1,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.S.S.S.S.[HH].[HH].[HH].[HH].[HH].[HH].[Ni],31
248,-0.88,dichloromethane,-3,-4,4,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.S.S.S.S.S.S.[Mn],37
295,-1.57,dmf,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],41
198,-0.32,acetonitrile,1,0,2,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],51
267,0.35,water,-1,-2,0,3,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
231,-1.12,water,-2,-3,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ti],55
309,2.42,acetonitrile,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[SiH4],35
218,1.21,dichloromethane,1,0,1,2,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],53
271,0.2,water,0,-1,0,3,C.C.C.C.C.C.N.N.N.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],28
212,0.51,acetonitrile,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],61
262,0.37,water,-1,-2,0,3,C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],33
211,1.01,acetonitrile,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],61
273,0.78,water,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],45
311,-1.42,acetonitrile,2,1,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ru],61
196,0.36,water,-3,-4,1,0,C.C.C.C.C.C.N.N.N.N.N.N.[Fe],13
225,0.01,water,3,2,3,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],61
221,0.31,water,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],59
291,-0.91,dmf,1,0,0,1,C.C.C.C.C.C.C.C.C.C.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],21
261,0.12,water,-1,-2,5,4,C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],33
214,-1.33,dichloromethane,1,0,3,2,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],53
264,-0.02,water,0,-1,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ti],43
290,-0.1,dmf,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
204,0.13,water,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],49
277,-1.03,water,0,-1,0,1,C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.[Cr].[HH].[HH].[HH].[HH],23
217,-0.13,dichloromethane,1,0,0,1,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],53
195,-0.24,water,-3,-4,2,1,C.C.C.C.C.C.N.N.N.N.N.N.[Mn],13
288,0.74,dmf,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],31
224,0.33,water,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],67
259,-1.04,water,-1,-2,2,3,C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[V],33
274,-1.12,water,1,0,3,2,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
250,-1.27,dichloromethane,-3,-4,5,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.S.S.S.S.S.S.[Fe],37
253,1.28,dichloromethane,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.S.S.S.S.S.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[V],79
307,-0.03,water,-3,-4,1,0,C.C.C.C.C.C.N.N.N.N.N.N.[Ru],13
201,-0.41,dichloromethane,1,0,1,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],51
269,0.36,water,-1,-2,0,3,C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],36
289,0.31,acetonitrile,1,0,1,0,C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],21
202,-1.14,water,3,2,3,4,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],49
299,-2.3,acetonitrile,0,-1,2,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
296,-1.85,dmf,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],56
301,0.55,dichloromethane,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ru],51
251,-0.32,dichloromethane,-2,-3,1,2,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.S.S.S.S.S.S.[V],25
285,-0.58,water,-3,-4,5,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],55
270,1.35,water,3,2,0,3,C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],35
208,-0.23,water,3,2,0,1,C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],41
199,0.13,dichloromethane,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
283,-0.85,water,2,1,3,4,C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],48
255,-0.08,acetonitrile,0,-1,1,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.S.S.S.S.S.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],55
275,-1.22,water,1,0,3,2,C.C.C.C.C.C.N.N.N.N.N.N.[Cr].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],29
229,0.35,water,0,-1,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.O.O.O.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
233,0.57,water,-3,-4,0,3,C.C.C.C.C.C.O.O.O.O.O.O.O.O.O.O.O.O.[Co],19
286,-0.31,water,-2,-3,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ti],58
210,1.33,acetonitrile,3,2,2,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],61
