Family,System,NumAtoms,SMILES,charge_gn,E_gn,G_gn,E_ox,G_ox,E_rd,G_rd,dG_red,dG_ox
3c,10,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-819.867248686,-819.617726,-819.316084401,-819.071763,-820.194471527,-819.948507,-1.1955650000000018,1.4107469999999012
1d,00,24,C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-990.246200602,-990.100371,-989.983537412,-989.837649,-990.226706903,-990.089341,-0.8537539999999948,1.1275059999999257
4a,19,22,C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-495.608030401,-495.454564,-494.953087259,-494.805399,-495.955984706,-495.806375,-1.2165949999999979,1.5139489999999682
2d,00,42,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1049.07418576,-1048.790451,-1048.81357478,-1048.531436,-1049.15586104,-1048.873377,-0.9477099999998158,1.12379900000019
4b,04,40,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1650.24522332,-1649.958263,-1649.67675603,-1649.395642,-1650.56192066,-1650.278153,-1.1846739999999867,1.4274050000001353
3c,04,26,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-572.952380009,-572.765134,-572.325381909,-572.142925,-573.298347446,-573.114479,-1.2141289999999711,1.486992999999984
3f,04,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-727.692620477,-727.440176,-727.10146674,-726.854606,-728.021994745,-727.773093,-1.1977010000000659,1.4503539999999475
1a,12,25,C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1119.49058905,-1119.34871,-1119.2319129,-1119.090182,-1119.52813385,-1119.390639,-0.9067129999999819,1.123312000000169
1a,01,27,C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1029.54855094,-1029.375949,-1029.31619674,-1029.143114,-1029.5247761,-1029.361654,-0.8504890000000527,1.0976190000001225
3a,01,22,C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-495.585935657,-495.434288,-494.941914991,-494.793597,-495.93847434,-495.789563,-1.220059000000006,1.50547499999999
1a,07,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1068.8271011,-1068.628632,-1068.59797088,-1068.399062,-1068.80441702,-1068.61532,-0.8514720000001856,1.0943540000000667
4a,00,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-951.086223013,-950.861914,-950.509357939,-950.290043,-951.414275962,-951.197022,-1.199891999999991,1.4366549999999734
2a,00,18,C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH],0,-534.688881161,-534.590028,-534.374378549,-534.278698,-534.75918766,-534.663101,-0.9378570000000221,1.1761139999999841
3b,00,24,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-571.723118388,-571.559797,-571.089660926,-570.931767,-572.071748593,-571.912426,-1.217412999999979,1.492813999999953
3c,00,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.520470992,-651.281445,-650.916507889,-650.682524,-651.850057809,-651.613843,-1.197182000000012,1.4637050000000045
1b,05,44,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1244.14243617,-1243.814695,-1243.90397942,-1243.576263,-1244.11967771,-1243.800733,-0.8508220000000077,1.1032160000002023
3f,01,37,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-766.985019256,-766.706944,-766.402148682,-766.130512,-767.306529225,-767.032154,-1.18999399999997,1.441216000000054
4a,05,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1571.66528323,-1571.430894,-1571.09096454,-1570.861787,-1571.99310192,-1571.76266,-1.196550000000016,1.4338910000001306
4c,02,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.504699221,-651.273895,-650.936419278,-650.71046,-651.832074274,-651.604268,-1.1951570000000087,1.4282190000000128
3f,09,40,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-881.204293008,-880.913885,-880.657021855,-880.370296,-881.523412625,-881.234292,-1.185190999999932,1.4083729999999832
2d,06,22,C.C.C.C.C.C.C.C.C.N.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-628.292193558,-628.159466,-628.002215131,-627.872524,-628.356986731,-628.226662,-0.9319800000000809,1.1517259999999396
2b,01,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1,-1461.67575959,-1461.531239,-1461.51022828,-1461.368748,-1461.64324717,-1461.50278,-0.8363250000001157,1.0272749999999178
1d,01,25,C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1065.44502899,-1065.294038,-1065.16237615,-1065.012734,-1065.44887456,-1065.30529,-0.8760360000000131,1.1460880000001907
2a,08,27,C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-801.694056652,-801.535086,-801.356367494,-801.202765,-801.771787651,-801.614106,-0.9438040000000141,1.197104999999965
4d,06,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-878.81373416,-878.563646,-878.29125942,-878.043479,-879.113864131,-878.867857,-1.1689950000000093,1.3849509999998872
3f,05,24,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-571.760867758,-571.596578,-571.14657707,-570.985926,-572.110707167,-571.949958,-1.2181640000000156,1.4754360000000588
4c,03,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-805.041857729,-804.767135,-804.532612949,-804.262192,-805.364344085,-805.092449,-1.1900979999999348,1.3697270000000117
1a,02,27,C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1489.01291578,-1488.852323,-1488.77692335,-1488.616173,-1488.99664496,-1488.845542,-0.8580029999999537,1.1009340000002794
4d,03,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.345929689,-650.131424,-649.761910485,-649.551778,-650.660039686,-650.451022,-1.184381999999928,1.4444300000000112
4a,10,46,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1366.0792485,-1365.783186,-1365.55913582,-1365.270722,-1366.41695722,-1366.124103,-1.2057010000002177,1.3772480000000087
2c,04,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-822.080703984,-821.871624,-821.805208457,-821.596857,-822.13213815,-821.925271,-0.9184309999999554,1.139550999999983
3c,11,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.537634352,-651.299374,-650.939445997,-650.707177,-651.869233516,-651.633682,-1.1990920000000782,1.456980999999928
2a,12,19,C.C.C.C.C.C.C.C.C.C.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH],0,-609.896922357,-609.793125,-609.580840246,-609.479721,-609.975173091,-609.874233,-0.945891999999972,1.1781879999999774
4c,04,32,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-742.775049806,-742.55057,-742.20860827,-741.988143,-743.098941533,-742.87878,-1.1929940000000128,1.427210999999943
2a,02,27,C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-801.709818683,-801.549994,-801.371877933,-801.217112,-801.784393376,-801.627061,-0.9418510000000564,1.1976659999999129
4a,08,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-726.314162094,-726.099681,-725.751495815,-725.540808,-726.641781387,-726.432008,-1.1971109999999638,1.4236570000000484
4d,04,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.343463736,-650.127541,-649.75596049,-649.544105,-650.66380308,-650.452481,-1.1897240000000833,1.448219999999992
4b,10,48,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1035.92120245,-1035.569584,-1035.41063252,-1035.066579,-1036.22850333,-1035.881214,-1.1764139999999228,1.3677890000001298
2a,09,18,C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH],0,-534.700812298,-534.601369,-534.355509737,-534.260709,-534.770244233,-534.673198,-0.9366129999999797,1.2054439999999431
2d,02,22,Br.Br.Br.Br.C.C.C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH],0,-10905.0420483,-10904.966025,-10904.7387171,-10904.663036,-10905.1715524,-10905.097325,-0.9960840000009197,1.1677729999992152
4b,08,37,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-692.035574463,-691.753844,-691.433180997,-691.159199,-692.356382812,-692.078081,-1.1890210000000392,1.459429
3d,05,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.525976973,-651.285388,-650.915507935,-650.680559,-651.853857443,-651.616304,-1.195700000000002,1.4696129999999812
1b,03,25,C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1028.35633676,-1028.205654,-1028.08691604,-1027.93674,-1028.34543715,-1028.202173,-0.8613029999998074,1.133698000000095
3d,02,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-690.818570486,-690.555021,-690.228632064,-689.971003,-691.140474577,-690.878602,-1.1883649999999901,1.4488020000000006
1b,04,26,C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-954.369387223,-954.19905,-954.128357058,-953.957841,-954.345658221,-954.184868,-0.8506019999999948,1.1059930000000122
2b,02,27,C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1,-1311.3352845,-1311.195837,-1311.16310496,-1311.02553,-1311.3082838,-1311.171325,-0.8402720000000412,1.0350910000001932
1c,00,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1068.61590845,-1068.429384,-1068.38456963,-1068.19781,-1068.62168636,-1068.441994,-0.8773939999999951,1.0963580000002366
4a,12,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-911.376220622,-911.127241,-910.831017426,-910.585584,-911.69230754,-911.449551,-1.1870940000000159,1.4064409999999725
2c,06,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-935.584014196,-935.352294,-935.287651365,-935.055816,-935.636357012,-935.408329,-0.9208189999999516,1.1612619999999652
2d,05,24,C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-688.216333745,-688.074145,-687.910364251,-687.769206,-688.284583029,-688.144894,-0.935532999999978,1.1697229999999763
3a,00,28,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-574.143241914,-573.9417,-573.507929443,-573.309085,-574.471704882,-574.271986,-1.195070000000001,1.497398999999973
1b,01,28,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1067.63908111,-1067.46283,-1067.37714556,-1067.202838,-1067.62716139,-1067.458608,-0.860561999999973,1.1247760000001108
3c,17,29,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-612.238060403,-612.025068,-611.617742214,-611.409099,-612.579267733,-612.369592,-1.2093079999999785,1.4807530000000497
1a,06,23,C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1374.56946831,-1374.438,-1374.32560309,-1374.193882,-1374.55819714,-1374.434732,-0.8615159999998381,1.108902000000171
2a,07,21,C.C.C.C.C.C.C.C.C.C.C.Cl.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1033.4461406,-1033.332822,-1033.10432459,-1032.996024,-1033.52255794,-1033.411178,-0.9431399999999852,1.201582000000144
1d,02,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1332.44046104,-1332.225981,-1332.14775118,-1331.936658,-1332.45669838,-1332.248746,-0.8875489999999358,1.1541070000000673
1a,14,23,C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-915.103125813,-914.959994,-914.863171207,-914.718904,-915.081785174,-914.94738,-0.8521699999999013,1.1058740000000853
4c,00,32,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-688.637156896,-688.405512,-688.050544197,-687.823936,-688.961793052,-688.733401,-1.1926729999999137,1.446360000000027
4b,07,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-837.037669241,-836.792275,-836.425733621,-836.187896,-837.373183518,-837.131699,-1.2042080000000082,1.4691629999999805
4d,08,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-878.811683487,-878.561146,-878.289761832,-878.04151,-879.112931159,-878.867368,-1.171006000000048,1.3844199999999773
3d,03,29,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-612.234453435,-612.019866,-611.599046331,-611.390831,-612.569052978,-612.357848,-1.2027660000000109,1.4938189999999167
3c,03,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.537817896,-651.30217,-650.947536676,-650.717953,-651.870118503,-651.636259,-1.198872999999949,1.4490010000000666
3c,06,33,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-726.69683077,-726.455214,-726.123039492,-725.886644,-727.028624777,-726.790337,-1.199907000000067,1.4333539999998948
4a,06,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-803.081506161,-802.821652,-802.528373643,-802.272609,-803.407010976,-803.149594,-1.1927260000000073,1.4138269999999693
2a,11,20,C.C.C.C.C.C.C.C.C.C.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH],0,-685.070993785,-684.964572,-684.776991199,-684.672071,-685.142764023,-685.039727,-0.9399389999999952,1.1572850000000017
2c,02,29,C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-707.866191957,-707.671381,-707.575531421,-707.384206,-707.907854196,-707.715666,-0.909069000000059,1.1519590000000335
1a,00,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1068.82595011,-1068.627801,-1068.59954252,-1068.400219,-1068.80769393,-1068.617193,-0.8541759999999525,1.0923660000000837
2d,09,42,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1176.67115003,-1176.388378,-1176.41260332,-1176.131143,-1176.7286764,-1176.447274,-0.9236800000000043,1.1220190000001367
4a,02,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-2488.10029508,-2487.937187,-2487.56252343,-2487.400394,-2488.44132163,-2488.280893,-1.208490000000111,1.4015770000000884
3a,02,26,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-573.536502412,-573.365368,-573.245564904,-573.075241,-573.541975944,-573.374408,-0.8738240000000272,1.15491099999997
3d,01,41,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-769.404512055,-769.088309,-768.828114042,-768.518492,-769.699472035,-769.387265,-1.1637399999999756,1.4346009999999296
1c,03,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1222.13184123,-1221.901501,-1221.90643265,-1221.675235,-1222.14392986,-1221.92113,-0.8844129999998953,1.091050000000223
3d,00,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-690.82328374,-690.560743,-690.214923773,-689.957295,-691.143522207,-690.881887,-1.1859280000000039,1.4682319999999436
4b,02,31,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-613.466412939,-613.239336,-612.85426997,-612.636279,-613.791611393,-613.567644,-1.1930919999999927,1.4678410000000213
1a,11,26,C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-954.385174769,-954.217928,-954.150160142,-953.981917,-954.363374181,-954.203708,-0.850563999999977,1.100795000000062
3c,08,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-800.676628377,-800.454495,-800.091710014,-799.873812,-801.023330015,-800.803853,-1.214142000000052,1.4454669999998941
2a,04,21,C.C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-573.988150404,-573.86295,-573.650752721,-573.530553,-574.054044001,-573.931629,-0.9334630000000883,1.1971809999998868
2d,03,22,C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.O.O.[HH].[HH].[HH].[HH],0,-2449.8663576,-2449.782791,-2449.56043716,-2449.479118,-2449.99224846,-2449.91123,-0.9932230000000712,1.168456999999762
2c,05,39,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1050.01966961,-1049.759062,-1049.73075848,-1049.472619,-1050.07807982,-1049.821087,-0.9268089999999487,1.15122700000029
2a,05,21,C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.S.[HH].[HH].[HH].[HH].[HH],-1,-1157.79517713,-1157.698793,-1157.62266845,-1157.528724,-1157.75440938,-1157.660251,-0.8262419999999933,1.034853000000112
3c,05,27,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-665.093771361,-664.911941,-664.473299987,-664.295045,-665.455261906,-665.27622,-1.2290630000000105,1.481679999999983
3f,03,31,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1147.86206466,-1147.646947,-1147.26807719,-1147.057347,-1148.19951398,-1147.987698,-1.2055349999999547,1.4543840000001182
